Timestamp,kwh
2024-01-01 00:00:00,3.28
2024-01-01 01:00:00,3.6
2024-01-01 02:00:00,3.79
2024-01-01 03:00:00,3.44
2024-01-01 04:00:00,4.47
2024-01-01 05:00:00,4.09
2024-01-01 06:00:00,4.52
2024-01-01 07:00:00,3.85
2024-01-01 08:00:00,16.5
2024-01-01 09:00:00,17.7
2024-01-01 10:00:00,15.97
2024-01-01 11:00:00,21.97
2024-01-01 12:00:00,16.87
2024-01-01 13:00:00,23.87
2024-01-01 14:00:00,20.89
2024-01-01 15:00:00,20.86
2024-01-01 16:00:00,18.87
2024-01-01 17:00:00,23.13
2024-01-01 18:00:00,19.2
2024-01-01 19:00:00,3.97
2024-01-01 20:00:00,4.2
2024-01-01 21:00:00,3.7
2024-01-01 22:00:00,3.39
2024-01-01 23:00:00,4.41
2024-01-02 00:00:00,4.35
2024-01-02 01:00:00,4.02
2024-01-02 02:00:00,3.22
2024-01-02 03:00:00,4.4
2024-01-02 04:00:00,4.39
2024-01-02 05:00:00,3.87
2024-01-02 06:00:00,3.8
2024-01-02 07:00:00,3.84
2024-01-02 08:00:00,20.12
2024-01-02 09:00:00,18.96
2024-01-02 10:00:00,17.93
2024-01-02 11:00:00,19.59
2024-01-02 12:00:00,20.72
2024-01-02 13:00:00,19.74
2024-01-02 14:00:00,19.47
2024-01-02 15:00:00,17.87
2024-01-02 16:00:00,21.8
2024-01-02 17:00:00,19.09
2024-01-02 18:00:00,13.66
2024-01-02 19:00:00,4.31
2024-01-02 20:00:00,3.65
2024-01-02 21:00:00,4.23
2024-01-02 22:00:00,3.42
2024-01-02 23:00:00,4.07
2024-01-03 00:00:00,3.57
2024-01-03 01:00:00,3.47
2024-01-03 02:00:00,3.9
2024-01-03 03:00:00,4.29
2024-01-03 04:00:00,4.16
2024-01-03 05:00:00,3.57
2024-01-03 06:00:00,4.65
2024-01-03 07:00:00,4.3
2024-01-03 08:00:00,19.87
2024-01-03 09:00:00,17.55
2024-01-03 10:00:00,16.46
2024-01-03 11:00:00,19.42
2024-01-03 12:00:00,19.37
2024-01-03 13:00:00,20.75
2024-01-03 14:00:00,16.77
2024-01-03 15:00:00,18.78
2024-01-03 16:00:00,19.85
2024-01-03 17:00:00,19.44
2024-01-03 18:00:00,22.69
2024-01-03 19:00:00,3.75
2024-01-03 20:00:00,3.94
2024-01-03 21:00:00,3.33
2024-01-03 22:00:00,3.69
2024-01-03 23:00:00,2.94
2024-01-04 00:00:00,3.36
2024-01-04 01:00:00,3.96
2024-01-04 02:00:00,3.58
2024-01-04 03:00:00,3.62
2024-01-04 04:00:00,4.55
2024-01-04 05:00:00,4.34
2024-01-04 06:00:00,3.35
2024-01-04 07:00:00,4.13
2024-01-04 08:00:00,17.35
2024-01-04 09:00:00,17.8
2024-01-04 10:00:00,19.56
2024-01-04 11:00:00,16.16
2024-01-04 12:00:00,19.3
2024-01-04 13:00:00,19.66
2024-01-04 14:00:00,22.31
2024-01-04 15:00:00,19.03
2024-01-04 16:00:00,18.57
2024-01-04 17:00:00,17.37
2024-01-04 18:00:00,16.76
2024-01-04 19:00:00,4.58
2024-01-04 20:00:00,4.34
2024-01-04 21:00:00,4.61
2024-01-04 22:00:00,4.13
2024-01-04 23:00:00,3.77
2024-01-05 00:00:00,3.88
2024-01-05 01:00:00,3.83
2024-01-05 02:00:00,4.51
2024-01-05 03:00:00,4.51
2024-01-05 04:00:00,3.91
2024-01-05 05:00:00,3.68
2024-01-05 06:00:00,3.61
2024-01-05 07:00:00,4.81
2024-01-05 08:00:00,18.05
2024-01-05 09:00:00,19.26
2024-01-05 10:00:00,19.82
2024-01-05 11:00:00,20.27
2024-01-05 12:00:00,19.06
2024-01-05 13:00:00,20.53
2024-01-05 14:00:00,17.69
2024-01-05 15:00:00,19.93
2024-01-05 16:00:00,19.53
2024-01-05 17:00:00,21.69
2024-01-05 18:00:00,21.28
2024-01-05 19:00:00,4.55
2024-01-05 20:00:00,3.13
2024-01-05 21:00:00,4.49
2024-01-05 22:00:00,3.81
2024-01-05 23:00:00,4.15
2024-01-06 00:00:00,3.86
2024-01-06 01:00:00,4.43
2024-01-06 02:00:00,4.37
2024-01-06 03:00:00,3.85
2024-01-06 04:00:00,3.67
2024-01-06 05:00:00,3.23
2024-01-06 06:00:00,4.07
2024-01-06 07:00:00,4.71
2024-01-06 08:00:00,18.03
2024-01-06 09:00:00,20.28
2024-01-06 10:00:00,16.7
2024-01-06 11:00:00,19.19
2024-01-06 12:00:00,13.06
2024-01-06 13:00:00,14.06
2024-01-06 14:00:00,21.29
2024-01-06 15:00:00,18.17
2024-01-06 16:00:00,15.71
2024-01-06 17:00:00,23.18
2024-01-06 18:00:00,16.26
2024-01-06 19:00:00,4.73
2024-01-06 20:00:00,3.37
2024-01-06 21:00:00,3.67
2024-01-06 22:00:00,4.85
2024-01-06 23:00:00,3.64
2024-01-07 00:00:00,3.87
2024-01-07 01:00:00,3.95
2024-01-07 02:00:00,4.17
2024-01-07 03:00:00,3.75
2024-01-07 04:00:00,4.52
2024-01-07 05:00:00,3.72
2024-01-07 06:00:00,3.92
2024-01-07 07:00:00,4.35
2024-01-07 08:00:00,18.4
2024-01-07 09:00:00,16.41
2024-01-07 10:00:00,17.61
2024-01-07 11:00:00,17.7
2024-01-07 12:00:00,21.47
2024-01-07 13:00:00,18.47
2024-01-07 14:00:00,20.25
2024-01-07 15:00:00,21.08
2024-01-07 16:00:00,17.13
2024-01-07 17:00:00,21.34
2024-01-07 18:00:00,15.51
2024-01-07 19:00:00,4.51
2024-01-07 20:00:00,4.01
2024-01-07 21:00:00,4.5
2024-01-07 22:00:00,4.55
2024-01-07 23:00:00,4.37
2024-01-08 00:00:00,4.24
2024-01-08 01:00:00,3.63
2024-01-08 02:00:00,4.14
2024-01-08 03:00:00,4.56
2024-01-08 04:00:00,3.69
2024-01-08 05:00:00,4.35
2024-01-08 06:00:00,3.08
2024-01-08 07:00:00,4.6
2024-01-08 08:00:00,18.44
2024-01-08 09:00:00,18.06
2024-01-08 10:00:00,23.52
2024-01-08 11:00:00,22.1
2024-01-08 12:00:00,21.38
2024-01-08 13:00:00,16.68
2024-01-08 14:00:00,16.78
2024-01-08 15:00:00,20.02
2024-01-08 16:00:00,17.31
2024-01-08 17:00:00,20.49
2024-01-08 18:00:00,19.06
2024-01-08 19:00:00,3.91
2024-01-08 20:00:00,3.9
2024-01-08 21:00:00,4.4
2024-01-08 22:00:00,3.6
2024-01-08 23:00:00,4.55
2024-01-09 00:00:00,4.73
2024-01-09 01:00:00,3.87
2024-01-09 02:00:00,2.84
2024-01-09 03:00:00,3.44
2024-01-09 04:00:00,3.72
2024-01-09 05:00:00,4.19
2024-01-09 06:00:00,3.58
2024-01-09 07:00:00,4.08
2024-01-09 08:00:00,16.38
2024-01-09 09:00:00,19.6
2024-01-09 10:00:00,18.65
2024-01-09 11:00:00,17.32
2024-01-09 12:00:00,20.77
2024-01-09 13:00:00,18.69
2024-01-09 14:00:00,17.33
2024-01-09 15:00:00,23.73
2024-01-09 16:00:00,18.2
2024-01-09 17:00:00,16.08
2024-01-09 18:00:00,21.94
2024-01-09 19:00:00,4.03
2024-01-09 20:00:00,3.89
2024-01-09 21:00:00,4.08
2024-01-09 22:00:00,3.58
2024-01-09 23:00:00,4.4
2024-01-10 00:00:00,4.51
2024-01-10 01:00:00,3.96
2024-01-10 02:00:00,4.39
2024-01-10 03:00:00,3.74
2024-01-10 04:00:00,3.87
2024-01-10 05:00:00,3.06
2024-01-10 06:00:00,4.17
2024-01-10 07:00:00,3.85
2024-01-10 08:00:00,17.84
2024-01-10 09:00:00,20.35
2024-01-10 10:00:00,18.97
2024-01-10 11:00:00,18.06
2024-01-10 12:00:00,17.73
2024-01-10 13:00:00,15.6
2024-01-10 14:00:00,16.88
2024-01-10 15:00:00,19.46
2024-01-10 16:00:00,21.18
2024-01-10 17:00:00,17.65
2024-01-10 18:00:00,20.61
2024-01-10 19:00:00,3.99
2024-01-10 20:00:00,3.94
2024-01-10 21:00:00,4.29
2024-01-10 22:00:00,3.37
2024-01-10 23:00:00,3.59
2024-01-11 00:00:00,3.85
2024-01-11 01:00:00,3.72
2024-01-11 02:00:00,4.09
2024-01-11 03:00:00,4.53
2024-01-11 04:00:00,3.99
2024-01-11 05:00:00,3.91
2024-01-11 06:00:00,3.75
2024-01-11 07:00:00,4.0
2024-01-11 08:00:00,17.72
2024-01-11 09:00:00,16.55
2024-01-11 10:00:00,20.13
2024-01-11 11:00:00,21.72
2024-01-11 12:00:00,18.04
2024-01-11 13:00:00,21.75
2024-01-11 14:00:00,18.3
2024-01-11 15:00:00,20.19
2024-01-11 16:00:00,19.6
2024-01-11 17:00:00,17.98
2024-01-11 18:00:00,17.63
2024-01-11 19:00:00,3.76
2024-01-11 20:00:00,4.19
2024-01-11 21:00:00,4.03
2024-01-11 22:00:00,4.85
2024-01-11 23:00:00,3.89
2024-01-12 00:00:00,4.6
2024-01-12 01:00:00,3.69
2024-01-12 02:00:00,3.34
2024-01-12 03:00:00,3.78
2024-01-12 04:00:00,3.53
2024-01-12 05:00:00,4.03
2024-01-12 06:00:00,3.36
2024-01-12 07:00:00,5.05
2024-01-12 08:00:00,18.86
2024-01-12 09:00:00,17.56
2024-01-12 10:00:00,18.63
2024-01-12 11:00:00,12.95
2024-01-12 12:00:00,17.8
2024-01-12 13:00:00,16.93
2024-01-12 14:00:00,17.67
2024-01-12 15:00:00,17.82
2024-01-12 16:00:00,21.98
2024-01-12 17:00:00,18.29
2024-01-12 18:00:00,17.46
2024-01-12 19:00:00,4.01
2024-01-12 20:00:00,4.36
2024-01-12 21:00:00,4.8
2024-01-12 22:00:00,3.37
2024-01-12 23:00:00,3.52
2024-01-13 00:00:00,5.07
2024-01-13 01:00:00,3.8
2024-01-13 02:00:00,4.83
2024-01-13 03:00:00,4.31
2024-01-13 04:00:00,4.0
2024-01-13 05:00:00,3.59
2024-01-13 06:00:00,3.53
2024-01-13 07:00:00,3.71
2024-01-13 08:00:00,16.8
2024-01-13 09:00:00,20.93
2024-01-13 10:00:00,22.67
2024-01-13 11:00:00,17.56
2024-01-13 12:00:00,18.34
2024-01-13 13:00:00,18.22
2024-01-13 14:00:00,19.68
2024-01-13 15:00:00,19.18
2024-01-13 16:00:00,18.75
2024-01-13 17:00:00,18.46
2024-01-13 18:00:00,20.77
2024-01-13 19:00:00,3.63
2024-01-13 20:00:00,3.87
2024-01-13 21:00:00,4.14
2024-01-13 22:00:00,4.16
2024-01-13 23:00:00,4.29
2024-01-14 00:00:00,4.33
2024-01-14 01:00:00,4.63
2024-01-14 02:00:00,4.52
2024-01-14 03:00:00,4.51
2024-01-14 04:00:00,3.93
2024-01-14 05:00:00,3.14
2024-01-14 06:00:00,3.55
2024-01-14 07:00:00,3.9
2024-01-14 08:00:00,16.72
2024-01-14 09:00:00,17.26
2024-01-14 10:00:00,20.91
2024-01-14 11:00:00,14.11
2024-01-14 12:00:00,21.19
2024-01-14 13:00:00,18.98
2024-01-14 14:00:00,17.43
2024-01-14 15:00:00,16.52
2024-01-14 16:00:00,19.34
2024-01-14 17:00:00,19.74
2024-01-14 18:00:00,18.63
2024-01-14 19:00:00,3.76
2024-01-14 20:00:00,3.83
2024-01-14 21:00:00,4.72
2024-01-14 22:00:00,4.78
2024-01-14 23:00:00,3.79
2024-01-15 00:00:00,4.37
2024-01-15 01:00:00,3.44
2024-01-15 02:00:00,3.6
2024-01-15 03:00:00,4.89
2024-01-15 04:00:00,3.91
2024-01-15 05:00:00,4.31
2024-01-15 06:00:00,4.08
2024-01-15 07:00:00,3.58
2024-01-15 08:00:00,20.93
2024-01-15 09:00:00,19.11
2024-01-15 10:00:00,21.55
2024-01-15 11:00:00,20.15
2024-01-15 12:00:00,19.55
2024-01-15 13:00:00,21.83
2024-01-15 14:00:00,19.9
2024-01-15 15:00:00,13.86
2024-01-15 16:00:00,21.19
2024-01-15 17:00:00,21.84
2024-01-15 18:00:00,18.77
2024-01-15 19:00:00,3.81
2024-01-15 20:00:00,2.96
2024-01-15 21:00:00,4.81
2024-01-15 22:00:00,3.83
2024-01-15 23:00:00,3.08
2024-01-16 00:00:00,4.73
2024-01-16 01:00:00,3.52
2024-01-16 02:00:00,4.64
2024-01-16 03:00:00,3.76
2024-01-16 04:00:00,4.05
2024-01-16 05:00:00,3.3
2024-01-16 06:00:00,4.05
2024-01-16 07:00:00,3.45
2024-01-16 08:00:00,20.8
2024-01-16 09:00:00,18.58
2024-01-16 10:00:00,20.53
2024-01-16 11:00:00,20.8
2024-01-16 12:00:00,16.64
2024-01-16 13:00:00,21.9
2024-01-16 14:00:00,19.13
2024-01-16 15:00:00,16.79
2024-01-16 16:00:00,19.43
2024-01-16 17:00:00,19.6
2024-01-16 18:00:00,20.94
2024-01-16 19:00:00,4.0
2024-01-16 20:00:00,4.64
2024-01-16 21:00:00,3.67
2024-01-16 22:00:00,3.4
2024-01-16 23:00:00,4.17
2024-01-17 00:00:00,3.97
2024-01-17 01:00:00,4.32
2024-01-17 02:00:00,3.73
2024-01-17 03:00:00,3.81
2024-01-17 04:00:00,4.34
2024-01-17 05:00:00,3.75
2024-01-17 06:00:00,3.83
2024-01-17 07:00:00,4.32
2024-01-17 08:00:00,18.54
2024-01-17 09:00:00,15.79
2024-01-17 10:00:00,18.37
2024-01-17 11:00:00,23.3
2024-01-17 12:00:00,22.97
2024-01-17 13:00:00,20.58
2024-01-17 14:00:00,20.02
2024-01-17 15:00:00,20.45
2024-01-17 16:00:00,19.4
2024-01-17 17:00:00,19.09
2024-01-17 18:00:00,20.65
2024-01-17 19:00:00,2.87
2024-01-17 20:00:00,4.6
2024-01-17 21:00:00,4.79
2024-01-17 22:00:00,3.6
2024-01-17 23:00:00,4.56
2024-01-18 00:00:00,3.3
2024-01-18 01:00:00,4.35
2024-01-18 02:00:00,3.71
2024-01-18 03:00:00,4.41
2024-01-18 04:00:00,5.1
2024-01-18 05:00:00,3.93
2024-01-18 06:00:00,3.87
2024-01-18 07:00:00,3.24
2024-01-18 08:00:00,21.72
2024-01-18 09:00:00,19.81
2024-01-18 10:00:00,18.12
2024-01-18 11:00:00,18.92
2024-01-18 12:00:00,17.79
2024-01-18 13:00:00,22.27
2024-01-18 14:00:00,15.82
2024-01-18 15:00:00,19.29
2024-01-18 16:00:00,22.3
2024-01-18 17:00:00,20.61
2024-01-18 18:00:00,20.65
2024-01-18 19:00:00,4.46
2024-01-18 20:00:00,3.8
2024-01-18 21:00:00,3.75
2024-01-18 22:00:00,4.31
2024-01-18 23:00:00,4.59
2024-01-19 00:00:00,4.55
2024-01-19 01:00:00,4.16
2024-01-19 02:00:00,4.61
2024-01-19 03:00:00,3.8
2024-01-19 04:00:00,3.76
2024-01-19 05:00:00,4.61
2024-01-19 06:00:00,4.04
2024-01-19 07:00:00,3.53
2024-01-19 08:00:00,18.8
2024-01-19 09:00:00,23.05
2024-01-19 10:00:00,19.15
2024-01-19 11:00:00,15.74
2024-01-19 12:00:00,18.7
2024-01-19 13:00:00,22.42
2024-01-19 14:00:00,18.43
2024-01-19 15:00:00,21.02
2024-01-19 16:00:00,20.96
2024-01-19 17:00:00,18.49
2024-01-19 18:00:00,16.59
2024-01-19 19:00:00,4.12
2024-01-19 20:00:00,4.36
2024-01-19 21:00:00,4.2
2024-01-19 22:00:00,3.57
2024-01-19 23:00:00,3.96
2024-01-20 00:00:00,4.8
2024-01-20 01:00:00,3.79
2024-01-20 02:00:00,4.17
2024-01-20 03:00:00,3.85
2024-01-20 04:00:00,3.69
2024-01-20 05:00:00,5.05
2024-01-20 06:00:00,3.55
2024-01-20 07:00:00,3.12
2024-01-20 08:00:00,18.07
2024-01-20 09:00:00,16.13
2024-01-20 10:00:00,16.27
2024-01-20 11:00:00,16.76
2024-01-20 12:00:00,20.07
2024-01-20 13:00:00,21.51
2024-01-20 14:00:00,16.72
2024-01-20 15:00:00,19.35
2024-01-20 16:00:00,14.38
2024-01-20 17:00:00,15.65
2024-01-20 18:00:00,19.13
2024-01-20 19:00:00,3.6
2024-01-20 20:00:00,4.42
2024-01-20 21:00:00,4.72
2024-01-20 22:00:00,4.27
2024-01-20 23:00:00,3.74
2024-01-21 00:00:00,4.87
2024-01-21 01:00:00,5.19
2024-01-21 02:00:00,3.93
2024-01-21 03:00:00,4.25
2024-01-21 04:00:00,4.64
2024-01-21 05:00:00,3.66
2024-01-21 06:00:00,4.06
2024-01-21 07:00:00,3.94
2024-01-21 08:00:00,17.01
2024-01-21 09:00:00,16.79
2024-01-21 10:00:00,18.32
2024-01-21 11:00:00,22.12
2024-01-21 12:00:00,22.2
2024-01-21 13:00:00,20.02
2024-01-21 14:00:00,19.14
2024-01-21 15:00:00,18.29
2024-01-21 16:00:00,22.72
2024-01-21 17:00:00,21.01
2024-01-21 18:00:00,20.58
2024-01-21 19:00:00,3.51
2024-01-21 20:00:00,4.34
2024-01-21 21:00:00,3.48
2024-01-21 22:00:00,3.79
2024-01-21 23:00:00,4.1
2024-01-22 00:00:00,4.54
2024-01-22 01:00:00,4.23
2024-01-22 02:00:00,4.04
2024-01-22 03:00:00,4.27
2024-01-22 04:00:00,3.29
2024-01-22 05:00:00,3.9
2024-01-22 06:00:00,4.23
2024-01-22 07:00:00,4.22
2024-01-22 08:00:00,16.45
2024-01-22 09:00:00,21.23
2024-01-22 10:00:00,22.37
2024-01-22 11:00:00,15.5
2024-01-22 12:00:00,20.02
2024-01-22 13:00:00,17.03
2024-01-22 14:00:00,17.35
2024-01-22 15:00:00,17.49
2024-01-22 16:00:00,19.55
2024-01-22 17:00:00,17.0
2024-01-22 18:00:00,19.93
2024-01-22 19:00:00,3.42
2024-01-22 20:00:00,4.04
2024-01-22 21:00:00,3.96
2024-01-22 22:00:00,3.53
2024-01-22 23:00:00,3.51
2024-01-23 00:00:00,3.03
2024-01-23 01:00:00,3.72
2024-01-23 02:00:00,4.69
2024-01-23 03:00:00,4.76
2024-01-23 04:00:00,3.83
2024-01-23 05:00:00,4.03
2024-01-23 06:00:00,5.04
2024-01-23 07:00:00,4.49
2024-01-23 08:00:00,20.42
2024-01-23 09:00:00,17.45
2024-01-23 10:00:00,20.15
2024-01-23 11:00:00,16.3
2024-01-23 12:00:00,19.65
2024-01-23 13:00:00,16.43
2024-01-23 14:00:00,20.0
2024-01-23 15:00:00,15.42
2024-01-23 16:00:00,19.75
2024-01-23 17:00:00,18.79
2024-01-23 18:00:00,20.38
2024-01-23 19:00:00,3.55
2024-01-23 20:00:00,4.21
2024-01-23 21:00:00,3.73
2024-01-23 22:00:00,3.69
2024-01-23 23:00:00,3.58
2024-01-24 00:00:00,4.19
2024-01-24 01:00:00,3.36
2024-01-24 02:00:00,4.21
2024-01-24 03:00:00,3.29
2024-01-24 04:00:00,4.4
2024-01-24 05:00:00,3.68
2024-01-24 06:00:00,3.83
2024-01-24 07:00:00,3.36
2024-01-24 08:00:00,19.88
2024-01-24 09:00:00,17.23
2024-01-24 10:00:00,20.49
2024-01-24 11:00:00,20.38
2024-01-24 12:00:00,19.43
2024-01-24 13:00:00,19.29
2024-01-24 14:00:00,18.24
2024-01-24 15:00:00,18.32
2024-01-24 16:00:00,20.92
2024-01-24 17:00:00,14.98
2024-01-24 18:00:00,19.67
2024-01-24 19:00:00,2.88
2024-01-24 20:00:00,4.26
2024-01-24 21:00:00,4.84
2024-01-24 22:00:00,4.16
2024-01-24 23:00:00,4.48
2024-01-25 00:00:00,3.94
2024-01-25 01:00:00,3.97
2024-01-25 02:00:00,3.74
2024-01-25 03:00:00,4.0
2024-01-25 04:00:00,5.17
2024-01-25 05:00:00,4.0
2024-01-25 06:00:00,3.03
2024-01-25 07:00:00,4.27
2024-01-25 08:00:00,23.23
2024-01-25 09:00:00,21.01
2024-01-25 10:00:00,19.11
2024-01-25 11:00:00,21.25
2024-01-25 12:00:00,19.74
2024-01-25 13:00:00,16.64
2024-01-25 14:00:00,22.46
2024-01-25 15:00:00,23.55
2024-01-25 16:00:00,19.6
2024-01-25 17:00:00,18.49
2024-01-25 18:00:00,16.18
2024-01-25 19:00:00,3.91
2024-01-25 20:00:00,4.26
2024-01-25 21:00:00,3.92
2024-01-25 22:00:00,4.01
2024-01-25 23:00:00,3.56
2024-01-26 00:00:00,4.65
2024-01-26 01:00:00,5.02
2024-01-26 02:00:00,4.35
2024-01-26 03:00:00,3.73
2024-01-26 04:00:00,3.8
2024-01-26 05:00:00,3.93
2024-01-26 06:00:00,3.84
2024-01-26 07:00:00,4.44
2024-01-26 08:00:00,17.82
2024-01-26 09:00:00,20.51
2024-01-26 10:00:00,19.28
2024-01-26 11:00:00,18.84
2024-01-26 12:00:00,16.73
2024-01-26 13:00:00,21.35
2024-01-26 14:00:00,17.29
2024-01-26 15:00:00,20.55
2024-01-26 16:00:00,16.82
2024-01-26 17:00:00,20.76
2024-01-26 18:00:00,19.11
2024-01-26 19:00:00,4.19
2024-01-26 20:00:00,4.86
2024-01-26 21:00:00,3.56
2024-01-26 22:00:00,4.49
2024-01-26 23:00:00,4.42
2024-01-27 00:00:00,3.61
2024-01-27 01:00:00,4.16
2024-01-27 02:00:00,4.06
2024-01-27 03:00:00,4.34
2024-01-27 04:00:00,4.79
2024-01-27 05:00:00,4.33
2024-01-27 06:00:00,4.51
2024-01-27 07:00:00,3.91
2024-01-27 08:00:00,21.38
2024-01-27 09:00:00,17.88
2024-01-27 10:00:00,19.52
2024-01-27 11:00:00,14.23
2024-01-27 12:00:00,20.98
2024-01-27 13:00:00,20.42
2024-01-27 14:00:00,15.73
2024-01-27 15:00:00,19.86
2024-01-27 16:00:00,16.6
2024-01-27 17:00:00,21.37
2024-01-27 18:00:00,19.56
2024-01-27 19:00:00,4.27
2024-01-27 20:00:00,4.23
2024-01-27 21:00:00,4.78
2024-01-27 22:00:00,3.0
2024-01-27 23:00:00,4.9
2024-01-28 00:00:00,3.77
2024-01-28 01:00:00,3.4
2024-01-28 02:00:00,4.25
2024-01-28 03:00:00,3.55
2024-01-28 04:00:00,3.18
2024-01-28 05:00:00,4.4
2024-01-28 06:00:00,3.97
2024-01-28 07:00:00,3.77
2024-01-28 08:00:00,17.6
2024-01-28 09:00:00,19.14
2024-01-28 10:00:00,24.0
2024-01-28 11:00:00,19.75
2024-01-28 12:00:00,21.3
2024-01-28 13:00:00,18.53
2024-01-28 14:00:00,20.81
2024-01-28 15:00:00,19.93
2024-01-28 16:00:00,14.89
2024-01-28 17:00:00,21.92
2024-01-28 18:00:00,17.48
2024-01-28 19:00:00,3.57
2024-01-28 20:00:00,3.64
2024-01-28 21:00:00,3.91
2024-01-28 22:00:00,4.09
2024-01-28 23:00:00,3.64
2024-01-29 00:00:00,4.88
2024-01-29 01:00:00,4.26
2024-01-29 02:00:00,4.7
2024-01-29 03:00:00,3.98
2024-01-29 04:00:00,4.24
2024-01-29 05:00:00,4.32
2024-01-29 06:00:00,4.27
2024-01-29 07:00:00,3.61
2024-01-29 08:00:00,18.99
2024-01-29 09:00:00,20.76
2024-01-29 10:00:00,16.54
2024-01-29 11:00:00,15.16
2024-01-29 12:00:00,15.54
2024-01-29 13:00:00,16.91
2024-01-29 14:00:00,16.45
2024-01-29 15:00:00,17.48
2024-01-29 16:00:00,21.6
2024-01-29 17:00:00,17.01
2024-01-29 18:00:00,20.19
2024-01-29 19:00:00,4.04
2024-01-29 20:00:00,3.76
2024-01-29 21:00:00,4.86
2024-01-29 22:00:00,4.06
2024-01-29 23:00:00,4.09
2024-01-30 00:00:00,4.04
2024-01-30 01:00:00,4.04
2024-01-30 02:00:00,4.14
2024-01-30 03:00:00,3.82
2024-01-30 04:00:00,4.31
2024-01-30 05:00:00,4.58
2024-01-30 06:00:00,4.95
2024-01-30 07:00:00,4.58
2024-01-30 08:00:00,17.18
2024-01-30 09:00:00,19.14
2024-01-30 10:00:00,17.75
2024-01-30 11:00:00,19.27
2024-01-30 12:00:00,18.22
2024-01-30 13:00:00,19.78
2024-01-30 14:00:00,19.92
2024-01-30 15:00:00,22.58
2024-01-30 16:00:00,18.72
2024-01-30 17:00:00,15.54
2024-01-30 18:00:00,18.03
2024-01-30 19:00:00,3.94
2024-01-30 20:00:00,3.86
2024-01-30 21:00:00,3.75
2024-01-30 22:00:00,3.99
2024-01-30 23:00:00,3.29
2024-01-31 00:00:00,4.31
2024-01-31 01:00:00,3.7
2024-01-31 02:00:00,3.24
2024-01-31 03:00:00,4.84
2024-01-31 04:00:00,4.45
2024-01-31 05:00:00,4.64
2024-01-31 06:00:00,3.84
2024-01-31 07:00:00,4.03
2024-01-31 08:00:00,19.57
2024-01-31 09:00:00,19.67
2024-01-31 10:00:00,17.04
2024-01-31 11:00:00,18.39
2024-01-31 12:00:00,19.86
2024-01-31 13:00:00,20.45
2024-01-31 14:00:00,21.27
2024-01-31 15:00:00,17.8
2024-01-31 16:00:00,18.13
2024-01-31 17:00:00,17.77
2024-01-31 18:00:00,18.45
2024-01-31 19:00:00,4.6
2024-01-31 20:00:00,4.07
2024-01-31 21:00:00,3.21
2024-01-31 22:00:00,3.98
2024-01-31 23:00:00,3.29
